FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y
2013.0000,13.0000,1858.0316,1620.9966,1050.4292,1399.0172,1178.0587,1194.9180,2097.7218,1182.0295,1688.7708,1132.1758,1369.4217,1084.0396,1878.0857,828.3181,1331.6377,768.3142,1654.9141,751.1460,1511.1808,661.9095,1593.6653,593.9300,514.7360,126.3202,1273.8701,107.8007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014.0000,13.0000,1050.9444,1477.3426,1176.5458,1274.7900,2098.9758,1259.8758,1690.1680,1211.5152,1372.3314,1162.9814,1878.3962,907.3213,1333.4316,846.8163,1655.1977,830.6405,1510.9269,741.1563,1594.1238,673.4636,513.2811,206.5573,1274.3910,186.7449,388.4427,101.9471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015.0000,14.0000,1050.6762,1555.8487,1175.1230,1354.1287,2100.0036,1336.6501,1690.1415,1290.0095,1375.2704,1241.1588,1878.4770,985.8490,1335.1488,924.8938,1655.2688,909.1878,1511.2494,819.9965,1594.6125,752.3420,511.8193,286.0719,1274.5372,265.0428,388.4725,179.7715,929.3914,66.6527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016.0000,16.0000,1050.4051,1634.6437,1174.0840,1432.6797,2100.6532,1413.8343,1690.2599,1369.1218,1378.0604,1319.5585,1878.7564,1064.2121,1336.4815,1002.7686,1655.9423,987.8446,1511.9260,899.1794,1594.9430,831.3893,510.6630,366.6556,1275.2587,343.5806,388.8442,258.2567,929.1333,145.3043,1800.5843,86.6800,1033.1238,65.8524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017.0000,17.0000,1173.3543,1510.9060,2101.2833,1490.8316,1689.6885,1446.9319,1380.1856,1396.3806,1878.8587,1142.2674,1337.4260,1080.8346,1656.1136,1066.0221,1512.5368,977.6432,1595.3612,909.9864,509.0849,446.3877,1275.5956,421.6652,388.5279,335.8382,929.3012,223.2407,1801.1310,164.2836,1033.4847,143.4997,420.7542,77.0665,1014.6955,64.2027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018.0000,18.0000,1173.0349,1588.2102,2101.7022,1567.3073,1688.6408,1524.8462,1382.4742,1473.0864,1879.1523,1219.9315,1338.2618,1158.8645,1656.2862,1144.0153,1513.1076,1055.9942,1595.6731,988.3869,507.7515,525.9480,1275.9480,499.9392,388.6703,413.7895,929.6718,301.2290,1801.4503,242.2656,1033.7176,222.0289,420.7253,154.6782,1014.7543,141.6821,1034.3483,53.7565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019.0000,18.0000,1172.9353,1664.8515,2102.0848,1643.7184,1687.2966,1602.6059,1384.8601,1550.6811,1878.9559,1298.4403,1338.8020,1237.2597,1656.2201,1222.3981,1513.2432,1134.6299,1595.6048,1067.3657,507.0550,605.5865,1276.2785,578.8745,388.9126,492.2774,930.0434,379.4756,1802.2162,320.2906,1033.6610,299.9223,420.7357,233.3337,1014.9941,219.8134,1029.8676,134.5857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020.0000,14.0000,1387.4116,1627.9620,1879.4913,1375.7166,1338.7321,1315.3846,1656.1515,1300.1637,1512.9230,1212.6399,1595.7896,1145.8509,506.3377,684.5676,1276.7822,657.6620,389.1148,570.3952,930.5834,457.2297,1802.7363,398.3492,1033.9437,378.2833,420.9906,311.0902,1021.6094,249.2211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021.0000,13.0000,1879.3816,1453.7259,1338.5989,1394.1677,1656.2584,1378.3628,1512.7249,1291.3928,1596.0697,1224.6402,505.9863,763.8504,1276.8413,736.4799,389.3593,649.1162,930.5582,536.2468,1803.1366,477.1166,1034.2406,457.3471,420.8517,389.5746,1019.8738,328.8850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022.0000,13.0000,1879.0083,1530.8430,1337.8708,1471.9339,1656.2005,1455.5694,1513.2073,1369.1677,1596.3151,1302.4107,506.0462,842.4016,1276.8282,814.1676,389.4990,726.7767,930.6389,614.6516,1803.8002,554.5777,1034.7089,535.0662,421.0724,467.0616,1018.8005,407.7379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
