FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
68.0000,3.0000,913.4310,1133.2467,1332.7262,553.1211,1778.8075,451.1059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0000,3.0000,915.2686,1223.4650,1333.6703,644.2084,1775.5249,539.9609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.0000,4.0000,917.0003,1314.7585,1334.6945,736.6944,1772.0992,630.1657,771.5909,94.5791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.0000,5.0000,918.7757,1404.9945,1335.5111,828.5307,1768.9678,719.4984,771.0043,186.2981,749.1373,105.8134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,5.0000,920.6176,1496.0959,1336.4652,921.3212,1765.8158,810.1115,770.7883,279.4965,749.8575,200.1343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,5.0000,922.3508,1585.7398,1337.0749,1011.9462,1762.5903,898.9181,770.6093,371.2046,750.6977,292.8609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.0000,5.0000,1337.6446,1103.8947,1759.2599,988.6142,770.6682,464.0274,751.5653,386.5888,705.3657,113.3492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,5.0000,1338.3377,1194.7947,1756.2416,1077.5554,770.3105,556.0817,752.6310,479.8351,705.4793,205.5876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,5.0000,1339.0715,1286.0594,1752.9291,1167.4833,770.3905,648.8962,753.4234,573.6874,705.9067,298.9962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,5.0000,1339.9262,1376.4161,1749.7534,1256.5398,770.6104,740.9852,754.1791,666.5170,706.3254,391.5935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78.0000,5.0000,1340.7912,1467.0444,1746.3929,1345.8691,770.6508,833.4404,755.3332,760.2294,706.6851,485.0632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.0000,5.0000,1341.6509,1557.5279,1742.9055,1434.9140,770.9295,925.6687,756.1724,853.4657,707.0517,577.7553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.0000,6.0000,1342.3262,1647.9818,1739.1219,1524.0876,770.9843,1018.1917,757.0748,947.1523,707.5056,670.8477,853.2426,114.1308,NaN,NaN,NaN,NaN,NaN,NaN
81.0000,4.0000,1735.5019,1612.5138,764.7599,1076.0893,707.9670,763.5642,848.6980,200.9348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.0000,3.0000,765.5786,1168.4434,708.5376,856.3221,844.0367,288.1952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.0000,3.0000,766.2729,1261.0024,708.8561,949.2485,839.3721,375.2765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.0000,3.0000,767.0158,1353.3456,709.2354,1041.9485,835.0536,462.5956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.0000,3.0000,767.8693,1445.1204,709.8097,1134.4423,830.8385,549.8561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.0000,3.0000,768.6760,1536.5268,710.3894,1226.6429,826.7187,637.1265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.0000,4.0000,775.0364,1661.9995,763.8442,1592.6536,710.9980,1319.5831,822.4152,725.0816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.0000,2.0000,711.7265,1411.4005,818.3532,811.9458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89.0000,3.0000,712.3508,1503.1667,814.2956,899.2948,926.7569,54.1188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90.0000,3.0000,713.1493,1594.2358,810.3885,986.1235,926.8467,142.1583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91.0000,3.0000,806.4889,1073.8477,926.7678,231.3352,945.7628,117.5864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92.0000,3.0000,802.6068,1159.8121,926.6205,319.3374,937.9642,205.7069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.0000,4.0000,799.7009,1246.2130,926.2451,408.5022,930.1906,295.0103,535.2074,91.2328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.0000,4.0000,797.0709,1331.3595,926.0345,496.7499,922.4867,383.4574,533.6688,181.9460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95.0000,5.0000,794.0763,1417.5978,925.8834,585.4309,914.6769,472.2377,532.2803,272.9468,890.0613,89.2317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.0000,5.0000,791.0260,1503.2392,925.8136,673.2265,906.9382,559.8596,530.9911,363.5791,885.9235,181.4163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.0000,5.0000,787.9187,1589.7316,925.7822,761.7377,899.0616,648.9387,529.8746,454.9049,881.8174,275.1073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.0000,4.0000,925.7000,849.1059,891.5425,736.8462,528.5812,545.6401,877.6346,367.6957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.0000,4.0000,925.7549,937.1583,883.7923,825.7779,527.3618,637.5387,873.3757,461.5320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100.0000,4.0000,925.9102,1024.1806,875.9595,913.6657,526.1737,728.4725,869.2616,554.5984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101.0000,4.0000,926.4224,1112.0365,868.4995,1002.0938,525.0754,820.0776,864.9401,648.4099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.0000,4.0000,926.9143,1199.1622,860.9287,1090.3084,524.0288,910.9019,860.7009,741.1856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103.0000,4.0000,927.4515,1287.2295,853.6335,1178.5835,523.0628,1002.3720,856.9071,834.4711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.0000,5.0000,927.9243,1374.1128,846.3450,1265.5598,521.7141,1092.4104,852.8035,927.1609,1434.9177,95.0622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105.0000,6.0000,928.6875,1461.1982,838.7664,1353.3448,520.7688,1183.3291,848.6963,1020.5568,1434.0097,186.9582,954.2240,126.1724,NaN,NaN,NaN,NaN,NaN,NaN
106.0000,6.0000,929.4940,1548.1972,831.7036,1440.4039,519.8548,1273.8035,844.9179,1113.4314,1432.9809,278.5973,953.6302,219.4730,NaN,NaN,NaN,NaN,NaN,NaN
107.0000,6.0000,930.2495,1635.2762,824.3648,1527.5653,518.7393,1364.2671,840.8420,1206.1776,1432.0945,370.0505,953.1407,312.9202,NaN,NaN,NaN,NaN,NaN,NaN
108.0000,5.0000,816.8316,1613.9844,517.7395,1454.1111,836.7558,1298.3714,1430.9385,461.2830,952.5959,406.1907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.0000,4.0000,516.9044,1543.8400,833.1288,1390.5352,1429.9105,553.0953,952.1065,499.8775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.0000,5.0000,516.0327,1633.3025,829.1516,1481.9922,1429.0670,644.6715,951.6444,593.2119,1654.5985,125.2618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111.0000,4.0000,825.2468,1573.7491,1427.8426,736.1725,951.1581,686.3452,1652.7571,216.4487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
