FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
45.0000,5.0000,203.4773,1113.1324,1279.8772,773.0394,1219.7656,710.3871,325.3467,558.8380,1294.9952,82.5001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,5.0000,198.9601,1207.0991,1280.7092,865.3831,1220.0934,802.2067,320.6846,649.9472,1292.0874,175.1730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,5.0000,194.7787,1299.2362,1281.3328,956.2538,1220.5443,892.4902,316.1816,739.3143,1289.5391,265.9040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,5.0000,190.3294,1392.4816,1282.0562,1048.2186,1220.9309,984.0132,311.9493,829.7748,1286.7368,358.2957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,7.0000,186.1851,1484.5756,1283.0560,1138.7348,1221.7780,1074.3244,307.5599,918.9793,1284.0784,449.4687,1471.1272,100.8367,1151.0297,98.7355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,7.0000,181.9665,1578.0932,1283.8176,1230.7438,1222.3986,1166.0012,303.0792,1009.5202,1281.1834,542.0756,1469.2149,193.4610,1152.2621,191.9175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,7.0000,178.1945,1668.1407,1284.7618,1320.5300,1223.5208,1255.1503,298.3877,1098.6872,1278.2917,633.1456,1466.6860,284.7999,1153.7834,283.2201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,6.0000,1285.7390,1411.5893,1224.8097,1345.6956,293.7223,1188.8976,1275.4115,725.6853,1464.5566,377.2705,1154.9505,376.1634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,6.0000,1286.8956,1501.3903,1226.4414,1435.2558,289.6099,1278.0601,1272.5373,816.5642,1462.2566,468.4317,1156.2028,467.9415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,6.0000,1288.0143,1592.5182,1228.1247,1526.0936,285.1560,1368.4092,1269.6346,908.4855,1460.0441,560.9728,1157.3986,560.8479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
