FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y
121.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
123.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
124.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
143.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151.0000,1.0000,1086.7446,101.8424,NaN,NaN,NaN,NaN,NaN,NaN
152.0000,1.0000,1086.8498,194.9799,NaN,NaN,NaN,NaN,NaN,NaN
153.0000,1.0000,1086.7834,288.2069,NaN,NaN,NaN,NaN,NaN,NaN
154.0000,1.0000,1087.0480,381.4806,NaN,NaN,NaN,NaN,NaN,NaN
155.0000,2.0000,1087.1990,475.5650,1463.1913,106.5810,NaN,NaN,NaN,NaN
156.0000,2.0000,1087.2926,568.5549,1463.3942,196.3839,NaN,NaN,NaN,NaN
157.0000,2.0000,1087.4436,662.1863,1463.3795,286.4650,NaN,NaN,NaN,NaN
158.0000,2.0000,1087.5254,754.9447,1463.6656,375.9480,NaN,NaN,NaN,NaN
159.0000,2.0000,1087.6342,848.6430,1464.1222,465.6350,NaN,NaN,NaN,NaN
160.0000,2.0000,1087.7479,941.5213,1464.4208,554.8726,NaN,NaN,NaN,NaN
161.0000,2.0000,1087.7891,1035.0204,1464.6456,644.3630,NaN,NaN,NaN,NaN
162.0000,2.0000,1087.7325,1127.7768,1465.0987,733.0978,NaN,NaN,NaN,NaN
163.0000,2.0000,1087.7578,1221.4396,1465.4938,823.2059,NaN,NaN,NaN,NaN
164.0000,2.0000,1087.7580,1313.6276,1465.9630,912.0053,NaN,NaN,NaN,NaN
165.0000,2.0000,1087.8609,1406.3064,1466.4296,1001.4332,NaN,NaN,NaN,NaN
166.0000,2.0000,1087.8369,1497.8768,1466.6658,1089.9380,NaN,NaN,NaN,NaN
167.0000,2.0000,1087.6880,1590.6361,1466.8723,1179.5339,NaN,NaN,NaN,NaN
168.0000,1.0000,1466.9025,1267.9499,NaN,NaN,NaN,NaN,NaN,NaN
169.0000,1.0000,1467.2136,1356.6856,NaN,NaN,NaN,NaN,NaN,NaN
170.0000,1.0000,1467.2880,1444.3104,NaN,NaN,NaN,NaN,NaN,NaN
171.0000,1.0000,1467.2387,1532.7786,NaN,NaN,NaN,NaN,NaN,NaN
172.0000,1.0000,1467.1988,1620.1231,NaN,NaN,NaN,NaN,NaN,NaN
173.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
181.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
183.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
185.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
