FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y
1585.0000,3.0000,1679.4674,1360.6554,1379.6014,880.0632,555.4758,623.7934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586.0000,3.0000,1678.5958,1452.5824,1382.0676,970.9321,552.7468,716.4393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1587.0000,3.0000,1677.7594,1544.4318,1384.3271,1061.6368,550.4802,808.8688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1588.0000,3.0000,1676.6686,1635.7634,1386.6006,1151.8413,548.1546,900.8972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1589.0000,2.0000,1389.0930,1242.5800,546.0889,993.1754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1590.0000,2.0000,1391.4872,1332.9910,544.0545,1085.0208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1591.0000,3.0000,1393.7534,1423.1491,542.1385,1176.8914,1140.3996,123.0747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1592.0000,3.0000,1396.3173,1512.9144,540.3153,1268.0626,1143.0160,213.8249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1593.0000,3.0000,1398.6961,1603.2593,538.7297,1360.4094,1145.8183,305.8051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1594.0000,2.0000,536.9711,1451.4531,1148.7647,396.8783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1595.0000,2.0000,535.2805,1542.8449,1151.6858,488.6217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1596.0000,2.0000,533.8127,1633.1123,1154.6131,579.6112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1597.0000,1.0000,1157.5328,671.5786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1598.0000,1.0000,1160.3695,762.1107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1599.0000,2.0000,1163.0817,853.4327,941.8640,101.2879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600.0000,3.0000,1165.8660,943.3824,939.3443,191.2938,541.3318,100.6989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601.0000,3.0000,1168.7093,1034.5073,936.7891,282.5795,537.5054,193.3560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1602.0000,3.0000,1171.5921,1124.3979,934.3984,372.8098,533.6172,284.5548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603.0000,3.0000,1174.5020,1215.2723,932.0630,464.0475,529.9904,376.9702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604.0000,3.0000,1177.4231,1304.6939,929.7950,554.2067,526.1909,468.4559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1605.0000,3.0000,1179.9389,1395.2522,927.4874,645.9049,522.4563,561.2141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1606.0000,3.0000,1182.6591,1484.6074,925.0093,736.4497,518.5982,652.8226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607.0000,4.0000,1185.4881,1574.8724,922.7422,827.5099,514.9489,744.7119,1545.5995,92.0867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1608.0000,5.0000,1188.3955,1664.4368,920.5438,917.8176,511.5289,836.2942,1543.4746,184.5087,1142.8334,78.9152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1609.0000,5.0000,918.1345,1009.1159,507.7443,929.2616,1541.1653,277.8027,1139.9404,171.9890,605.7204,119.3268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1610.0000,5.0000,915.9087,1099.5310,504.3332,1020.7475,1539.0841,370.1413,1137.5016,263.8434,603.8935,211.7701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1611.0000,5.0000,913.6747,1189.6374,501.1289,1112.4950,1537.0184,462.8913,1134.9185,356.4496,602.1801,304.6511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1612.0000,5.0000,911.2684,1279.3623,497.7944,1204.0274,1534.6608,555.4709,1131.9592,448.7621,600.3968,397.4108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1613.0000,5.0000,908.9547,1368.9117,494.7375,1295.1504,1532.2073,647.9029,1129.2096,540.9152,598.3756,490.3290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1614.0000,6.0000,906.4773,1457.6949,491.6903,1385.6754,1529.7663,740.2186,1126.5750,632.7971,596.5079,582.3932,910.9765,105.2932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1615.0000,7.0000,904.4106,1545.9899,488.5674,1476.5100,1527.1984,832.1795,1124.1378,724.5312,594.8065,674.4021,910.1292,196.8724,1483.4905,47.5121,NaN,NaN,NaN,NaN,NaN,NaN
1616.0000,8.0000,902.1142,1635.0005,485.9149,1567.0879,1524.6112,924.7254,1121.2497,816.6381,592.9231,766.6286,909.2312,288.8231,1485.6957,141.6297,578.7706,124.1331,NaN,NaN,NaN,NaN
1617.0000,7.0000,483.5305,1656.5856,1521.9040,1016.9397,1118.4931,908.1515,590.9611,858.6394,908.4611,380.6735,1487.7576,235.4504,577.6131,216.6092,NaN,NaN,NaN,NaN,NaN,NaN
1618.0000,6.0000,1519.1406,1109.4172,1115.7625,1000.1816,589.2678,951.2567,907.5964,472.6382,1490.2912,329.8609,576.5976,309.8382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1619.0000,6.0000,1516.5737,1201.0565,1113.2624,1091.4564,587.5389,1043.0634,907.0944,564.1660,1492.5292,423.5393,576.1199,401.7978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1620.0000,6.0000,1513.9736,1293.2132,1110.6310,1183.4592,585.7779,1135.6006,906.4045,656.7008,1494.7608,518.3057,575.0414,494.9642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1621.0000,6.0000,1511.3381,1384.2885,1108.1708,1274.3376,584.3269,1227.3126,905.7424,748.3704,1496.9418,611.8782,574.0624,587.2670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1622.0000,6.0000,1508.7436,1475.9202,1105.4907,1365.8876,582.9391,1319.3931,905.0872,840.7058,1498.3519,705.7166,573.0954,680.3064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1623.0000,6.0000,1506.2273,1566.0855,1103.1162,1455.9730,581.6240,1410.1450,904.4270,931.8167,1499.6755,798.9424,572.3304,772.3290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624.0000,6.0000,1503.5135,1657.1447,1100.6929,1547.2185,580.5583,1501.8859,903.7229,1023.9697,1501.3932,893.4253,571.6187,865.3177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625.0000,5.0000,1098.4094,1637.0682,579.3387,1592.1711,903.1774,1114.3668,1502.8997,986.5578,570.9630,957.0568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626.0000,3.0000,902.8093,1205.0160,1504.5514,1080.6372,570.2585,1049.4015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627.0000,4.0000,902.8510,1294.6518,1506.0884,1173.3957,569.9343,1141.0204,1089.7695,36.6163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628.0000,4.0000,902.5668,1385.4182,1507.5752,1266.7107,569.3374,1233.4616,1090.2760,128.0042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629.0000,4.0000,902.3042,1474.9659,1509.0361,1359.0794,568.8868,1324.0942,1090.9136,218.4051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630.0000,4.0000,902.2799,1565.0556,1510.3284,1451.4540,568.5819,1414.9398,1091.7833,309.7542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631.0000,4.0000,902.3902,1653.4802,1512.0624,1543.4342,568.0117,1505.1780,1092.4856,400.8758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1632.0000,3.0000,1513.3742,1636.1239,567.5224,1596.0986,1092.9278,492.6484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633.0000,2.0000,1093.4435,583.7295,1587.2636,32.4021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1634.0000,3.0000,1094.0970,675.4501,1591.0836,123.6514,1809.2574,107.6012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1635.0000,3.0000,1094.5990,766.4965,1594.8996,214.0002,1807.6160,198.5725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1636.0000,3.0000,1095.1275,857.6237,1598.5267,305.1778,1805.5294,290.0357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1637.0000,3.0000,1095.4906,948.2178,1601.8897,395.8366,1803.6048,381.3855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1638.0000,3.0000,1096.0622,1038.9473,1605.5895,486.5201,1801.5685,472.7399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1639.0000,4.0000,1096.6256,1129.4227,1609.0062,577.3368,1799.6672,563.9468,1042.1541,77.7054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1640.0000,4.0000,1097.0346,1219.7696,1612.1846,668.0117,1797.6164,655.3693,1033.7632,167.1930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1641.0000,4.0000,1097.6495,1309.6857,1614.9920,758.3981,1795.6437,746.6495,1025.4416,256.5914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1642.0000,4.0000,1098.1935,1399.1467,1618.0887,848.5900,1793.9098,837.4761,1017.2767,345.2485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1643.0000,4.0000,1098.9540,1488.7835,1621.4748,939.6301,1791.9612,928.7023,1008.8643,434.8678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1644.0000,5.0000,1099.8480,1578.4941,1624.9300,1030.1448,1790.0946,1019.4224,1000.4739,524.1796,1352.0485,47.9059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1645.0000,6.0000,1628.0785,1120.2309,1788.1431,1110.3110,992.2370,613.4200,1352.8460,140.6087,838.6401,120.2299,696.3160,107.5512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1646.0000,7.0000,1631.4594,1209.3416,1786.0644,1200.5342,983.9388,701.7803,1353.5956,232.8635,837.3514,211.2368,695.9656,198.5369,570.2424,110.3219,NaN,NaN,NaN,NaN,NaN,NaN
