FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
123.0000,4.0000,956.0564,1643.7105,1239.8081,1629.0923,830.6483,864.4765,1579.2746,266.6909,NaN,NaN,NaN,NaN,NaN,NaN
124.0000,2.0000,832.3258,958.4213,1582.9244,359.0439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
125.0000,2.0000,833.9626,1051.2704,1586.4163,450.3685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
126.0000,2.0000,835.7181,1145.3934,1589.8255,543.0881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127.0000,2.0000,837.5915,1237.6066,1593.5182,634.2533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128.0000,3.0000,839.4555,1330.6328,1597.1967,726.7316,427.9227,44.4788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129.0000,3.0000,841.3615,1422.9320,1600.7242,818.6275,421.8240,135.3129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130.0000,3.0000,843.1924,1516.1968,1604.3030,911.5375,415.9809,227.3802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131.0000,3.0000,845.1836,1608.0777,1607.8529,1003.6137,409.6154,318.6143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132.0000,3.0000,1611.4713,1096.0163,403.5557,410.3859,1894.2950,47.8385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133.0000,3.0000,1615.1581,1187.7434,397.3214,501.5943,1895.6810,137.9818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134.0000,3.0000,1618.5333,1280.0799,390.9529,593.5534,1896.8004,229.0918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135.0000,3.0000,1621.6992,1371.6126,384.8947,684.7557,1897.8425,319.4764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136.0000,3.0000,1624.9486,1462.9654,379.1141,775.5667,1899.2309,409.7829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
137.0000,3.0000,1628.1436,1553.7644,373.0200,866.1260,1900.3820,500.2862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138.0000,3.0000,1630.7626,1644.3202,367.1542,956.4029,1901.5760,590.5488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139.0000,2.0000,361.3272,1046.6452,1902.6226,680.9172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140.0000,2.0000,355.9696,1136.4107,1903.7489,770.8686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
141.0000,2.0000,350.7096,1226.8055,1904.6922,861.5351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
142.0000,3.0000,344.8379,1316.3042,1905.5216,951.5557,1121.1963,104.6703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
