FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y
3071.0000,6.0000,150.6999,1465.9021,1614.3337,1303.8498,686.5740,1259.4814,973.1883,1097.4030,1808.9364,484.9615,1405.8260,347.2174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3072.0000,7.0000,153.2863,1535.9915,1614.5095,1384.0324,687.1221,1339.2180,970.1559,1177.4547,1809.6847,565.8336,1404.4080,426.0548,755.1438,81.1888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3073.0000,6.0000,1614.2426,1462.1643,687.9771,1417.1010,967.5297,1256.2283,1811.1424,644.9273,1403.2399,503.2527,755.0747,158.4919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3074.0000,6.0000,1614.9832,1541.6864,689.3845,1495.6487,964.4370,1335.8302,1811.5949,725.4719,1401.7339,582.1865,755.1929,237.8724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3075.0000,8.0000,1614.1311,1619.1475,690.1681,1573.5858,961.4643,1414.2588,1811.9451,804.4047,1399.9780,660.1716,754.9408,316.3544,1382.4037,75.2226,280.4837,44.2901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3076.0000,6.0000,958.9405,1493.8980,1812.4929,883.4082,1397.7691,738.7955,755.1198,395.3565,1381.6962,154.8379,279.0475,117.1108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3077.0000,6.0000,957.1504,1572.4348,1812.2116,961.5250,1395.8584,815.9098,755.1655,473.9089,1381.3347,233.2190,278.4254,189.3752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3078.0000,5.0000,1812.0076,1039.9946,1393.6298,894.7169,755.0296,553.3503,1381.3342,312.9918,277.7262,262.3311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3079.0000,5.0000,1811.1943,1117.6452,1391.2309,972.3036,755.1286,632.0725,1381.3965,391.8269,276.0777,334.8498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3080.0000,5.0000,1811.0682,1196.7489,1389.0436,1051.2695,755.7677,711.8026,1381.3083,471.5628,275.8369,408.1916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3081.0000,7.0000,1810.8970,1275.4638,1387.1659,1129.7132,755.7649,791.6769,1381.3596,551.4826,274.9092,481.0804,966.1167,110.4978,247.2374,82.9287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3082.0000,7.0000,1810.8414,1354.7253,1385.0279,1207.9334,756.2376,871.1877,1381.4721,631.1552,273.6919,554.8873,966.6903,189.4640,243.8557,159.6040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3083.0000,9.0000,1811.4767,1433.6233,1382.9096,1285.8560,756.5427,950.3916,1381.1107,710.5284,273.6690,628.1733,967.6162,268.2064,241.5408,235.4295,1650.1576,104.3123,737.3530,84.6829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3084.0000,11.0000,1811.5720,1512.4692,1380.5574,1362.7788,757.8037,1029.3983,1380.8456,790.0027,272.6700,701.8234,967.8158,347.3701,238.9026,312.0121,1651.4198,179.8138,738.8348,159.7482,340.0702,106.9500,765.1239,48.7537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3085.0000,11.0000,1809.5738,1589.9540,1378.0497,1439.9366,757.7667,1108.9352,1380.6451,870.1242,272.2159,775.4044,968.0964,426.6919,236.1263,388.7673,1652.6262,255.8595,739.2356,234.8169,338.8537,189.0361,765.6493,127.0558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3086.0000,10.0000,1375.3420,1516.8062,758.3613,1187.4652,1380.2482,949.4339,271.6625,848.4683,968.7687,505.4987,233.4976,464.0315,1653.3505,331.6786,739.9998,309.6549,336.6893,269.8015,765.7489,204.3926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3087.0000,10.0000,1372.6166,1594.2695,758.8078,1266.1651,1379.4842,1029.0400,271.7026,922.7138,969.1853,585.0875,230.9031,539.5968,1654.3869,408.4029,740.7160,385.4010,335.3118,351.2155,765.7759,282.0603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
