FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y
28.0000,5.0000,1054.7015,1478.2674,1664.0308,1446.5374,652.5116,1285.3237,1158.6959,1273.8272,1501.8506,338.4857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,6.0000,1055.0317,1555.7822,1662.2891,1525.2410,653.7331,1362.9389,1158.6463,1351.3628,1502.2812,415.3172,1647.9974,62.7122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,8.0000,1055.1000,1632.9784,1661.1570,1603.9424,654.1608,1440.8220,1158.2679,1429.6568,1503.4965,492.3319,1646.0588,137.4242,512.4022,89.8797,128.9556,89.7713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,6.0000,654.2357,1519.1468,1157.9828,1506.9764,1504.7713,570.2344,1644.6426,212.4293,511.9392,168.5771,128.5084,170.1684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,6.0000,655.3017,1597.0405,1157.8726,1585.1760,1506.2928,647.6454,1642.8155,287.0674,511.8803,246.7385,129.2262,248.5326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,5.0000,1506.9878,724.9631,1640.8839,362.2846,511.6489,325.3342,129.3468,327.7396,808.5912,101.9761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,5.0000,1508.4566,802.2902,1638.9950,437.3246,511.0670,403.4131,129.2907,406.8852,808.7964,178.1134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,6.0000,1509.9509,880.4157,1637.6697,513.1717,510.9233,482.1404,129.3052,485.9766,809.0337,255.9134,1681.2190,94.8663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,7.0000,1511.4504,958.2656,1635.5548,588.5529,510.4187,560.3552,129.2119,565.4929,809.6806,333.6214,1680.7419,172.7946,1860.4858,132.8487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,7.0000,1512.2217,1035.9375,1633.4405,663.9622,510.1037,638.0642,129.0023,644.8225,809.7093,411.1691,1681.1387,250.4032,1861.2138,212.3754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,8.0000,1513.6734,1113.2402,1631.7083,738.5522,509.8987,715.6964,128.6791,723.2703,810.1239,488.5940,1681.0976,328.0251,1861.7199,290.9809,1389.8355,128.4420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,8.0000,1514.3835,1190.3217,1629.8572,813.4815,509.7805,793.2694,128.1881,801.1253,810.4376,565.7763,1681.4115,405.7032,1862.5979,369.8244,1392.1452,207.2998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,8.0000,1515.5179,1267.8530,1628.3765,889.1469,509.4168,871.4855,127.4449,880.5050,811.4241,643.1172,1681.6192,483.9730,1863.1457,448.2462,1394.0202,287.6490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,8.0000,1516.6167,1345.2707,1627.0155,964.7328,509.0739,950.0112,127.1419,958.6418,811.5817,720.8418,1681.9875,562.1814,1863.8892,526.8960,1396.3694,367.3710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,9.0000,1517.1649,1421.9866,1625.2955,1039.9297,509.7488,1028.0129,127.4212,1036.4496,811.9137,798.1122,1682.2829,640.7781,1864.2206,605.4584,1398.7222,446.8129,134.9098,108.1905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,10.0000,1517.8401,1498.5505,1622.9203,1115.5372,509.7366,1106.4858,128.1195,1114.3599,812.4976,875.4769,1682.3465,719.5060,1864.7572,684.4522,1400.7173,526.3852,133.2048,186.8470,1118.0633,69.7586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,10.0000,1518.6023,1575.3853,1621.3186,1190.7145,510.3794,1185.6094,128.6367,1192.8803,813.2116,952.5831,1682.8463,798.8510,1865.1361,763.1153,1402.7426,606.9678,133.1231,265.3337,1116.4520,152.0650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,11.0000,1519.7621,1650.4612,511.1851,1264.3683,1619.4999,1265.9113,129.2448,1271.2820,814.1363,1029.4161,1682.8215,877.9267,1865.5643,842.1236,1404.8600,686.5842,132.9386,344.0118,1115.1449,233.9158,422.1645,57.9218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,10.0000,512.0306,1343.1786,1617.3603,1341.4665,129.3635,1349.4928,814.5825,1105.4718,1683.3590,957.1164,1865.3765,920.9583,1406.1787,766.6775,132.0389,422.3301,1113.2884,315.4483,422.5551,136.0790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
