FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
28.0000,8.0000,1968.7845,1633.9057,735.2411,1404.0744,1229.3322,1072.2018,747.9427,706.2968,1452.4229,552.4078,731.5033,510.5783,1607.8658,449.0812,1044.0036,77.6161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,7.0000,736.1407,1482.8652,1227.9377,1152.8165,747.8994,783.4876,1451.8327,631.9663,730.9934,588.1309,1608.4762,529.7974,1044.4916,157.5812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,7.0000,737.3364,1561.1301,1227.1305,1232.1986,747.2612,859.7789,1451.1951,711.0824,730.3927,664.6225,1609.1691,609.4007,1043.6454,235.7259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,6.0000,1226.1581,1312.2529,746.9294,937.4746,1450.5378,791.1742,730.3630,742.3726,1609.5822,690.2138,1044.8869,315.4638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,7.0000,1225.4312,1391.5886,746.6237,1013.7818,1450.3273,870.1923,730.2377,819.0253,1609.7173,770.0590,1044.7958,394.1144,1668.7745,139.7284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,7.0000,1224.6733,1471.3608,746.4013,1091.2335,1450.0607,951.4387,730.1280,896.8855,1609.7846,850.8745,1045.7495,474.2569,1669.9767,220.3015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,7.0000,1223.7643,1549.8451,746.5577,1167.1890,1450.1901,1031.3287,729.8937,973.8895,1610.3516,930.4277,1046.6382,553.2485,1671.0742,299.2182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,8.0000,1223.2759,1631.0668,746.5856,1243.6548,1450.3870,1110.7529,729.8860,1052.0202,1610.4134,1010.3409,1047.1881,633.0756,1672.5006,379.2818,1338.1043,107.8427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,7.0000,746.1174,1319.4897,1450.9357,1190.6672,730.3557,1129.4149,1611.0030,1089.3573,1047.5568,712.4129,1673.9609,458.3426,1337.7853,186.8226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,7.0000,745.9193,1396.7938,1451.8320,1270.4286,730.3379,1208.0949,1610.6381,1169.5401,1048.0538,793.1002,1675.4182,539.3042,1338.1903,267.8633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,7.0000,745.8848,1472.8904,1452.7334,1350.3112,730.6881,1285.1361,1610.8573,1248.1354,1048.5727,872.4685,1676.6295,618.4000,1337.8577,348.0361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,8.0000,745.7580,1549.0814,1453.8110,1429.7395,730.7400,1362.9042,1611.1887,1326.7010,1048.8701,952.7438,1677.9834,698.5600,1337.4674,428.6349,1724.9894,91.4103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,9.0000,746.1291,1623.9012,1454.7082,1508.4437,731.8951,1439.3199,1610.6861,1404.6543,1048.4456,1032.1365,1679.0741,776.7103,1336.3852,508.6545,1724.6825,169.7921,160.7444,77.5700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,8.0000,1455.4327,1587.1541,732.4357,1515.7510,1610.9045,1482.6193,1048.5488,1112.3834,1680.3850,855.9410,1336.1593,589.3023,1724.5937,249.4834,157.0242,157.6273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,7.0000,732.7302,1591.4741,1610.6636,1559.8812,1048.3660,1191.5819,1681.3867,934.3700,1335.6430,668.8390,1723.9301,328.3926,153.3380,235.4665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,7.0000,733.3201,1666.2288,1610.2876,1636.6734,1048.3497,1270.5559,1682.9071,1012.5550,1335.6510,748.5005,1724.3890,408.0686,149.8744,314.6984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,5.0000,1049.1850,1349.3746,1683.9417,1090.3637,1335.1398,827.6922,1724.0406,487.0272,146.2775,393.2759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,6.0000,1049.8494,1428.0865,1683.7912,1231.9636,1686.7226,1107.6947,1334.9150,907.4672,1724.0268,566.6707,143.0197,472.9280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,6.0000,1050.0245,1506.7274,1684.6908,1311.5179,1688.0090,1186.6235,1334.8648,987.3080,1724.2227,646.9259,140.3633,553.8532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,6.0000,1050.5252,1584.5242,1685.4730,1389.8806,1689.4379,1264.4267,1335.4529,1066.6374,1724.1009,725.9104,138.1873,632.7549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,6.0000,1686.0375,1468.5943,1690.7472,1342.0213,1335.3450,1146.0626,1724.0207,805.4798,136.2011,712.8902,582.1481,132.3909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,7.0000,1686.1758,1546.0178,1692.1997,1419.2783,1335.6006,1225.1228,1724.1131,884.9722,133.8356,792.1355,582.0680,210.9915,1117.5581,150.7602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,7.0000,1686.3802,1624.2742,1693.7679,1497.3476,1336.2229,1304.9601,1724.9347,965.6717,132.2005,873.5415,582.4171,291.5790,1117.5807,230.4383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,6.0000,1695.9124,1574.8110,1336.8897,1383.4399,1724.8109,1044.7195,130.4835,953.5339,582.5898,370.3092,1117.9637,309.1294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,7.0000,1337.6334,1462.1580,1724.6310,1124.6606,128.3878,1033.4909,582.5811,449.6115,1118.1799,388.6024,522.5500,78.1718,1286.0717,69.9685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,7.0000,1338.5129,1540.6637,1724.4382,1203.7535,127.0708,1113.4347,583.0346,529.2299,1118.3857,468.0161,521.6579,158.5959,1283.1504,147.4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,8.0000,1339.5267,1620.0633,1724.2829,1283.8329,125.9331,1193.3850,583.3288,608.9964,1118.9032,548.2248,520.8295,239.8129,1280.7685,225.2715,1535.3899,85.8672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,7.0000,1724.5137,1361.9862,125.7507,1271.9745,583.7446,687.1497,1119.3058,627.0966,519.9458,320.0330,1278.9136,301.4138,1533.1474,161.8466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
