FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y
478.0000,8.0000,1519.8316,1531.7558,194.3389,1262.7808,1484.6806,1168.8501,874.4048,968.5385,1248.0781,810.3348,1203.7171,743.7913,2002.1095,625.3946,713.2450,178.5543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
479.0000,8.0000,1517.9633,1609.9460,194.2832,1340.1477,1482.4630,1248.3287,875.3939,1045.0536,1248.6557,888.8076,1204.3047,820.8443,2002.7868,698.5503,712.5793,257.3503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
480.0000,7.0000,193.6050,1418.9865,1480.9182,1329.9391,877.0671,1124.1937,1249.3205,968.3089,1204.6558,898.9133,2002.2856,773.3094,711.8601,337.4981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
481.0000,8.0000,193.6460,1495.9977,1479.0076,1409.2225,878.1300,1200.6940,1249.4298,1046.1982,1205.0549,975.7927,2001.9561,846.1747,711.6827,416.1231,1477.1069,96.9817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
482.0000,9.0000,193.6995,1564.7308,1477.3902,1489.6977,879.8439,1278.3941,1249.7215,1125.2442,1205.7030,1054.2346,2002.0479,920.6879,711.2132,495.6479,1477.4249,175.9714,1440.5616,73.4046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
483.0000,10.0000,1476.4027,1568.6350,881.5126,1354.6558,1249.8836,1203.0993,1205.8670,1131.6662,2001.8922,994.0835,711.3022,574.4092,1477.8119,253.4355,1441.1073,151.2854,1840.9850,102.5229,626.2339,119.1159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
484.0000,9.0000,883.1867,1431.5537,1250.8956,1281.5713,1205.8685,1210.1985,2002.5142,1068.4392,711.1033,653.6859,1478.2587,332.2951,1441.7224,230.2369,1841.6197,183.2379,626.0218,197.2857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
485.0000,9.0000,885.2042,1507.4810,1251.6181,1358.8610,1206.8113,1287.8069,2002.1021,1142.3050,711.6637,732.4710,1478.3154,410.7691,1442.1092,308.3716,1843.3399,262.4011,625.8670,275.0803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
486.0000,9.0000,887.3800,1585.0486,1251.9496,1436.5865,1207.4611,1366.1344,2002.4785,1216.9238,712.1294,811.9958,1478.2181,490.0184,1442.6529,387.6172,1844.0947,343.3240,625.7450,354.2122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
487.0000,8.0000,1252.0209,1513.4230,1208.4065,1443.1880,2003.0980,1290.3991,712.7375,889.8673,1478.3413,568.5882,1442.9181,466.0978,1845.3457,423.1792,626.2922,432.8973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
488.0000,8.0000,1252.9139,1590.8116,1208.4161,1520.8832,2002.4708,1365.3114,713.4475,969.0079,1478.3292,647.6936,1443.2742,544.9917,1846.1048,504.1278,626.4211,511.9184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
489.0000,9.0000,1209.2294,1597.9916,2001.3318,1437.4437,714.3495,1047.4033,1478.0277,726.8824,1443.1731,624.4794,1846.9834,584.5083,626.7765,591.3452,1733.7957,69.2904,1972.9237,63.8049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
490.0000,8.0000,2001.2733,1510.3717,716.0926,1126.2880,1477.6589,806.6425,1442.9597,704.4566,1847.7393,665.3472,626.9349,671.1538,1735.1264,147.2376,1972.2133,145.5796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
491.0000,9.0000,2001.1496,1582.9428,717.3242,1204.1882,1477.1737,886.2377,1442.6386,784.1059,1848.4420,745.4293,627.1046,750.5011,1736.4009,224.8056,1971.4696,226.7119,870.6952,51.0166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
492.0000,10.0000,2000.8981,1654.5308,718.7247,1282.1428,1476.4807,966.7589,1442.3353,863.8374,1848.6614,825.7263,627.9760,831.5406,1970.7159,308.8395,1737.8689,303.3800,870.9667,131.1388,1657.4934,128.1460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
