FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
2654.0000,6.0000,1770.3623,1570.2005,1185.2217,1221.1694,1194.7007,1137.2303,1575.6201,367.8646,269.8685,356.6611,534.2202,280.0630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2655.0000,5.0000,1184.2474,1301.4503,1194.4453,1217.3231,1577.8085,443.9293,266.4355,438.0462,532.4610,355.5526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2656.0000,5.0000,1182.9564,1380.7217,1194.1390,1296.1811,1578.4458,519.0724,263.4972,518.7897,530.4323,429.9551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2657.0000,5.0000,1181.5124,1460.7169,1194.0346,1376.4074,1580.3062,596.2125,260.4775,600.7489,527.8766,505.6077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2658.0000,5.0000,1180.6813,1538.5781,1193.9786,1455.2643,1581.7582,671.7715,257.7858,681.1582,525.7542,579.8495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2659.0000,8.0000,1180.8849,1618.5624,1194.6323,1535.0183,1582.9242,748.6282,255.7370,763.0423,523.5529,655.7742,1712.1456,135.9934,1894.2238,99.6343,1417.1090,87.4017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2660.0000,7.0000,1195.1877,1614.1591,1584.2447,824.4367,253.4765,844.1449,521.4532,729.9774,1716.8146,213.5011,1894.7149,177.7344,1420.4416,165.3875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2661.0000,7.0000,251.0448,925.8770,1585.8083,901.2169,519.6643,805.4983,1721.4255,291.6137,1895.1657,256.5754,1423.6581,243.6864,1655.4601,107.1435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2662.0000,8.0000,248.4809,1006.6212,1586.9913,976.5725,518.0460,880.2503,1725.4007,368.5542,1895.5619,335.1399,1426.5410,321.0460,1658.4233,186.2622,834.6166,132.6415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2663.0000,8.0000,246.1270,1088.1360,1587.7393,1052.8609,515.8994,956.2898,1729.7822,447.3127,1895.5568,414.3942,1429.6237,399.3656,1660.6932,266.9683,834.4311,211.3537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2664.0000,9.0000,243.5823,1168.7252,1589.4639,1128.4135,514.6577,1030.7029,1733.7872,524.8539,1895.9844,492.6101,1432.5456,476.9794,1662.8300,346.7961,834.5935,289.8153,870.4479,95.7745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
